,random_horizontal_shift,random_vertical_scaling,n_iter,n_hiddens,accuracy,recall,precision,F1_score
70,0.4,1.0,50.0,6.0,0.1,0.1,0.91,0.018181818181818184
71,0.4,1.0,50.0,7.0,0.1,0.1,0.91,0.018181818181818184
72,0.4,10.0,15.0,5.0,0.1,0.1,0.91,0.018181818181818184
73,0.4,10.0,15.0,6.0,0.1,0.1,0.91,0.018181818181818184
74,0.4,10.0,15.0,7.0,0.1,0.1,0.91,0.018181818181818184
75,0.4,10.0,30.0,5.0,0.1,0.1,0.91,0.018181818181818184
76,0.4,10.0,30.0,6.0,0.1,0.1,0.91,0.018181818181818184
77,0.4,10.0,30.0,7.0,0.1,0.1,0.91,0.018181818181818184
78,0.4,10.0,50.0,5.0,0.1,0.1,0.91,0.018181818181818184
79,0.4,10.0,50.0,6.0,0.1,0.1,0.91,0.018181818181818184
80,0.4,10.0,50.0,7.0,0.1,0.1,0.91,0.018181818181818184
