,beta,SNR,n_iter,n_hidden,accuracy,recall,precision,F1_score
0,-2.0,-2.0,15.0,6.0,0.7777777777777778,0.7777777777777778,0.960226236088305,0.7623925951452083
1,-2.0,-1.0,15.0,6.0,1.0,1.0,1.0,1.0
2,-2.0,0.0,15.0,6.0,1.0,1.0,1.0,1.0
3,-2.0,1.0,15.0,6.0,1.0,1.0,1.0,1.0
4,-2.0,2.0,15.0,6.0,1.0,1.0,1.0,1.0
5,-2.0,3.0,15.0,6.0,1.0,1.0,1.0,1.0
6,-2.0,4.0,15.0,6.0,1.0,1.0,1.0,1.0
7,-2.0,5.0,15.0,6.0,1.0,1.0,1.0,1.0
8,-2.0,6.0,15.0,6.0,1.0,1.0,1.0,1.0
9,-2.0,7.0,15.0,6.0,1.0,1.0,1.0,1.0
10,-2.0,8.0,15.0,6.0,1.0,1.0,1.0,1.0
11,-2.0,9.0,15.0,6.0,1.0,1.0,1.0,1.0
12,-1.0,-2.0,15.0,6.0,0.7611111111111111,0.7611111111111111,0.8856400259909031,0.7048889807510497
13,-1.0,-1.0,15.0,6.0,0.9944444444444445,0.9944444444444445,0.9947089947089947,0.9944409700507261
14,-1.0,0.0,15.0,6.0,1.0,1.0,1.0,1.0
15,-1.0,1.0,15.0,6.0,1.0,1.0,1.0,1.0
16,-1.0,2.0,15.0,6.0,1.0,1.0,1.0,1.0
17,-1.0,3.0,15.0,6.0,1.0,1.0,1.0,1.0
18,-1.0,4.0,15.0,6.0,1.0,1.0,1.0,1.0
19,-1.0,5.0,15.0,6.0,1.0,1.0,1.0,1.0
20,-1.0,6.0,15.0,6.0,1.0,1.0,1.0,1.0
21,-1.0,7.0,15.0,6.0,1.0,1.0,1.0,1.0
22,-1.0,8.0,15.0,6.0,1.0,1.0,1.0,1.0
23,-1.0,9.0,15.0,6.0,1.0,1.0,1.0,1.0
24,0.0,-2.0,15.0,6.0,0.7888888888888889,0.7888888888888889,0.9272030651340997,0.7438487438487438
25,0.0,-1.0,15.0,6.0,0.8722222222222222,0.8722222222222222,0.9405684754521964,0.8617925284591951
26,0.0,0.0,15.0,6.0,0.95,0.95,0.9655172413793104,0.9473337722185649
27,0.0,1.0,15.0,6.0,0.9833333333333333,0.9833333333333333,0.9855072463768116,0.983239053006495
28,0.0,2.0,15.0,6.0,1.0,1.0,1.0,1.0
29,0.0,3.0,15.0,6.0,1.0,1.0,1.0,1.0
30,0.0,4.0,15.0,6.0,1.0,1.0,1.0,1.0
31,0.0,5.0,15.0,6.0,1.0,1.0,1.0,1.0
32,0.0,6.0,15.0,6.0,1.0,1.0,1.0,1.0
33,0.0,7.0,15.0,6.0,1.0,1.0,1.0,1.0
34,0.0,8.0,15.0,6.0,1.0,1.0,1.0,1.0
35,0.0,9.0,15.0,6.0,1.0,1.0,1.0,1.0
36,1.0,-2.0,15.0,6.0,0.35555555555555557,0.35555555555555557,0.8250107916774583,0.28837196714434565
37,1.0,-1.0,15.0,6.0,0.42777777777777776,0.42777777777777776,0.8504974854372446,0.32833513124775265
38,1.0,0.0,15.0,6.0,0.4388888888888889,0.4388888888888889,0.848883572567783,0.3327130085750776
39,1.0,1.0,15.0,6.0,0.4888888888888889,0.4888888888888889,0.8444444444444444,0.40292712066905617
40,1.0,2.0,15.0,6.0,0.5555555555555556,0.5555555555555556,0.8487654320987654,0.447041847041847
41,1.0,3.0,15.0,6.0,0.5555555555555556,0.5555555555555556,0.8391251149871841,0.44213408633893814
42,1.0,4.0,15.0,6.0,0.5555555555555556,0.5555555555555556,0.8274700757095123,0.43450506608401346
43,1.0,5.0,15.0,6.0,0.5722222222222222,0.5722222222222222,0.8337680403408102,0.46830174656261614
44,1.0,6.0,15.0,6.0,0.6111111111111112,0.6111111111111112,0.838311118821137,0.5174132163633676
45,1.0,7.0,15.0,6.0,0.7111111111111111,0.7111111111111111,0.8736990959213181,0.643259250447954
46,1.0,8.0,15.0,6.0,0.7666666666666667,0.7666666666666667,0.9158249158249158,0.7110832637148427
47,1.0,9.0,15.0,6.0,0.7777777777777778,0.7777777777777778,0.9259259259259258,0.7222222222222222
48,2.0,-2.0,15.0,6.0,0.37777777777777777,0.37777777777777777,0.725082940457482,0.3372186250149673
49,2.0,-1.0,15.0,6.0,0.45555555555555555,0.45555555555555555,0.7494252873563219,0.39610844544600304
50,2.0,0.0,15.0,6.0,0.48333333333333334,0.48333333333333334,0.8178150352063395,0.407115034566015
51,2.0,1.0,15.0,6.0,0.37222222222222223,0.37222222222222223,0.7697932521562658,0.2916786140979689
52,2.0,2.0,15.0,6.0,0.36666666666666664,0.36666666666666664,0.7591866376180102,0.2851417162629977
53,2.0,3.0,15.0,6.0,0.4111111111111111,0.4111111111111111,0.7978675645342311,0.3165092013929223
54,2.0,4.0,15.0,6.0,0.5,0.5,0.796151186183679,0.42444023463102787
55,2.0,5.0,15.0,6.0,0.6111111111111112,0.6111111111111112,0.8097643097643097,0.5158796014059172
56,2.0,6.0,15.0,6.0,0.6277777777777778,0.6277777777777778,0.8236020577974601,0.5432403702627455
57,2.0,7.0,15.0,6.0,0.6666666666666666,0.6666666666666666,0.8892614418930208,0.6026428548483557
58,2.0,8.0,15.0,6.0,0.6944444444444444,0.6944444444444444,0.9004040345130363,0.6483236937008917
59,2.0,9.0,15.0,6.0,0.8388888888888889,0.8388888888888889,0.9342403628117913,0.8352730821912191
