,beta,SNR,n_iter,n_hidden,accuracy,recall,precision,F1_score
0,-2.0,-2.0,15.0,6.0,0.6277777777777778,0.6277777777777778,0.8665008291873963,0.5460350632764426
1,-2.0,-1.0,15.0,6.0,0.8,0.8,0.8950617283950617,0.7505901505901506
2,-2.0,0.0,15.0,6.0,0.8777777777777778,0.8777777777777778,0.9313761922457574,0.8469284082212738
3,-2.0,1.0,15.0,6.0,1.0,1.0,1.0,1.0
4,-2.0,2.0,15.0,6.0,1.0,1.0,1.0,1.0
5,-2.0,3.0,15.0,6.0,1.0,1.0,1.0,1.0
6,-2.0,4.0,15.0,6.0,1.0,1.0,1.0,1.0
7,-2.0,5.0,15.0,6.0,1.0,1.0,1.0,1.0
8,-2.0,6.0,15.0,6.0,1.0,1.0,1.0,1.0
9,-2.0,7.0,15.0,6.0,1.0,1.0,1.0,1.0
10,-2.0,8.0,15.0,6.0,1.0,1.0,1.0,1.0
11,-2.0,9.0,15.0,6.0,1.0,1.0,1.0,1.0
12,-1.0,-2.0,15.0,6.0,0.43333333333333335,0.43333333333333335,0.6352513227513227,0.328425112062705
13,-1.0,-1.0,15.0,6.0,0.6055555555555555,0.6055555555555555,0.8204837490551775,0.5112012538749086
14,-1.0,0.0,15.0,6.0,0.8444444444444444,0.8444444444444444,0.9103468547912993,0.8061753349765804
15,-1.0,1.0,15.0,6.0,0.9666666666666667,0.9666666666666667,0.9743589743589743,0.9658994032395567
16,-1.0,2.0,15.0,6.0,1.0,1.0,1.0,1.0
17,-1.0,3.0,15.0,6.0,1.0,1.0,1.0,1.0
18,-1.0,4.0,15.0,6.0,1.0,1.0,1.0,1.0
19,-1.0,5.0,15.0,6.0,1.0,1.0,1.0,1.0
20,-1.0,6.0,15.0,6.0,1.0,1.0,1.0,1.0
21,-1.0,7.0,15.0,6.0,1.0,1.0,1.0,1.0
22,-1.0,8.0,15.0,6.0,1.0,1.0,1.0,1.0
23,-1.0,9.0,15.0,6.0,1.0,1.0,1.0,1.0
24,0.0,-2.0,15.0,6.0,0.45555555555555555,0.45555555555555555,0.6948798328108674,0.32383021720450417
25,0.0,-1.0,15.0,6.0,0.5277777777777778,0.5277777777777778,0.8244810744810744,0.46089839839839836
26,0.0,0.0,15.0,6.0,0.7611111111111111,0.7611111111111111,0.8650793650793651,0.6829101829101829
27,0.0,1.0,15.0,6.0,0.9,0.9,0.937888198757764,0.8862693560367979
28,0.0,2.0,15.0,6.0,0.9555555555555556,0.9555555555555556,0.9682539682539683,0.9537037037037036
29,0.0,3.0,15.0,6.0,0.9888888888888889,0.9888888888888889,0.98989898989899,0.9888610414926206
30,0.0,4.0,15.0,6.0,1.0,1.0,1.0,1.0
31,0.0,5.0,15.0,6.0,1.0,1.0,1.0,1.0
32,0.0,6.0,15.0,6.0,1.0,1.0,1.0,1.0
33,0.0,7.0,15.0,6.0,1.0,1.0,1.0,1.0
34,0.0,8.0,15.0,6.0,1.0,1.0,1.0,1.0
35,0.0,9.0,15.0,6.0,1.0,1.0,1.0,1.0
36,1.0,-2.0,15.0,6.0,0.15555555555555556,0.15555555555555556,0.8032039976484422,0.15246074789253763
37,1.0,-1.0,15.0,6.0,0.17222222222222222,0.17222222222222222,0.8545639460971268,0.16823526221385432
38,1.0,0.0,15.0,6.0,0.29444444444444445,0.29444444444444445,0.8596560846560847,0.2642475790109953
39,1.0,1.0,15.0,6.0,0.39444444444444443,0.39444444444444443,0.867042518205309,0.3588217338217338
40,1.0,2.0,15.0,6.0,0.5555555555555556,0.5555555555555556,0.8737373737373738,0.4759715380405035
41,1.0,3.0,15.0,6.0,0.6277777777777778,0.6277777777777778,0.9004004004004004,0.5691668457625904
42,1.0,4.0,15.0,6.0,0.65,0.65,0.9117272788158863,0.5887298976729872
43,1.0,5.0,15.0,6.0,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.6
44,1.0,6.0,15.0,6.0,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.6
45,1.0,7.0,15.0,6.0,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.6
46,1.0,8.0,15.0,6.0,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.6
47,1.0,9.0,15.0,6.0,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.6
48,2.0,-2.0,15.0,6.0,0.03333333333333333,0.03333333333333333,0.9259259259259258,0.058460058460058466
49,2.0,-1.0,15.0,6.0,0.016666666666666666,0.016666666666666666,0.6666666666666666,0.028985507246376812
50,2.0,0.0,15.0,6.0,0.027777777777777776,0.027777777777777776,0.7530864197530863,0.040313176744960856
51,2.0,1.0,15.0,6.0,0.1111111111111111,0.1111111111111111,0.7111111111111111,0.13597883597883598
52,2.0,2.0,15.0,6.0,0.17777777777777778,0.17777777777777778,0.7507936507936508,0.18809835045129164
53,2.0,3.0,15.0,6.0,0.34444444444444444,0.34444444444444444,0.8082194748861417,0.33914852490703884
54,2.0,4.0,15.0,6.0,0.4722222222222222,0.4722222222222222,0.8367108300712636,0.42802960727161704
55,2.0,5.0,15.0,6.0,0.5388888888888889,0.5388888888888889,0.8584178313210572,0.4796118837398507
56,2.0,6.0,15.0,6.0,0.6611111111111111,0.6611111111111111,0.8829940188635841,0.6279637854099488
57,2.0,7.0,15.0,6.0,0.7111111111111111,0.7111111111111111,0.8850129198966409,0.6656744852823283
58,2.0,8.0,15.0,6.0,0.7888888888888889,0.7888888888888889,0.928949357520786,0.7485708980936977
59,2.0,9.0,15.0,6.0,0.85,0.85,0.9382716049382716,0.828958078958079
