,beta,SNR,n_iter,n_hidden,accuracy,recall,precision,F1_score
0,-2.0,-2.0,15.0,6.0,0.3277777777777778,0.3277777777777778,0.5819088319088319,0.19008160703075955
1,-2.0,-1.0,15.0,6.0,0.5222222222222223,0.5222222222222223,0.7186036611323967,0.4157005797488077
2,-2.0,0.0,15.0,6.0,0.6777777777777778,0.6777777777777778,0.811473127262601,0.6307676063773625
3,-2.0,1.0,15.0,6.0,0.7777777777777778,0.7777777777777778,0.8333333333333334,0.7407407407407406
4,-2.0,2.0,15.0,6.0,0.9388888888888889,0.9388888888888889,0.9605734767025089,0.9338892645180679
5,-2.0,3.0,15.0,6.0,1.0,1.0,1.0,1.0
6,-2.0,4.0,15.0,6.0,1.0,1.0,1.0,1.0
7,-2.0,5.0,15.0,6.0,1.0,1.0,1.0,1.0
8,-2.0,6.0,15.0,6.0,1.0,1.0,1.0,1.0
9,-2.0,7.0,15.0,6.0,1.0,1.0,1.0,1.0
10,-2.0,8.0,15.0,6.0,1.0,1.0,1.0,1.0
11,-2.0,9.0,15.0,6.0,1.0,1.0,1.0,1.0
12,-1.0,-2.0,15.0,6.0,0.34444444444444444,0.34444444444444444,0.5803455803455804,0.21805219846341778
13,-1.0,-1.0,15.0,6.0,0.5111111111111111,0.5111111111111111,0.7115548296834847,0.409274114923418
14,-1.0,0.0,15.0,6.0,0.5722222222222222,0.5722222222222222,0.7513305093950255,0.49027581483212845
15,-1.0,1.0,15.0,6.0,0.7666666666666667,0.7666666666666667,0.8306878306878307,0.7325033012639125
16,-1.0,2.0,15.0,6.0,0.9333333333333333,0.9333333333333333,0.953968253968254,0.9284777123633307
17,-1.0,3.0,15.0,6.0,1.0,1.0,1.0,1.0
18,-1.0,4.0,15.0,6.0,1.0,1.0,1.0,1.0
19,-1.0,5.0,15.0,6.0,1.0,1.0,1.0,1.0
20,-1.0,6.0,15.0,6.0,1.0,1.0,1.0,1.0
21,-1.0,7.0,15.0,6.0,1.0,1.0,1.0,1.0
22,-1.0,8.0,15.0,6.0,1.0,1.0,1.0,1.0
23,-1.0,9.0,15.0,6.0,1.0,1.0,1.0,1.0
24,0.0,-2.0,15.0,6.0,0.3388888888888889,0.3388888888888889,0.6268022416859625,0.2250077274132257
25,0.0,-1.0,15.0,6.0,0.45,0.45,0.7475809896695972,0.32226002717230784
26,0.0,0.0,15.0,6.0,0.5833333333333334,0.5833333333333334,0.8137648137648138,0.5004711881890779
27,0.0,1.0,15.0,6.0,0.6944444444444444,0.6944444444444444,0.867841551104263,0.6369817711589864
28,0.0,2.0,15.0,6.0,0.9333333333333333,0.9333333333333333,0.9583333333333334,0.9267399267399267
29,0.0,3.0,15.0,6.0,1.0,1.0,1.0,1.0
30,0.0,4.0,15.0,6.0,1.0,1.0,1.0,1.0
31,0.0,5.0,15.0,6.0,1.0,1.0,1.0,1.0
32,0.0,6.0,15.0,6.0,1.0,1.0,1.0,1.0
33,0.0,7.0,15.0,6.0,1.0,1.0,1.0,1.0
34,0.0,8.0,15.0,6.0,1.0,1.0,1.0,1.0
35,0.0,9.0,15.0,6.0,1.0,1.0,1.0,1.0
36,1.0,-2.0,15.0,6.0,0.3055555555555556,0.3055555555555556,0.7857142857142858,0.24156545209176786
37,1.0,-1.0,15.0,6.0,0.3888888888888889,0.3888888888888889,0.8398983942825977,0.30784207288927307
38,1.0,0.0,15.0,6.0,0.5277777777777778,0.5277777777777778,0.843568524970964,0.43200934879557545
39,1.0,1.0,15.0,6.0,0.5555555555555556,0.5555555555555556,0.8505291005291006,0.44848484848484843
40,1.0,2.0,15.0,6.0,0.5555555555555556,0.5555555555555556,0.8572446072446073,0.4503973175324974
41,1.0,3.0,15.0,6.0,0.6111111111111112,0.6111111111111112,0.8796296296296295,0.5407407407407407
42,1.0,4.0,15.0,6.0,0.6555555555555556,0.6555555555555556,0.9065656565656566,0.5888610414926204
43,1.0,5.0,15.0,6.0,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.6
44,1.0,6.0,15.0,6.0,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.6
45,1.0,7.0,15.0,6.0,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.6
46,1.0,8.0,15.0,6.0,0.7055555555555556,0.7055555555555556,0.919330289193303,0.6609584494889155
47,1.0,9.0,15.0,6.0,0.7444444444444445,0.7444444444444445,0.9225589225589226,0.6987384100927193
48,2.0,-2.0,15.0,6.0,0.03888888888888889,0.03888888888888889,0.8734567901234568,0.052544185522908925
49,2.0,-1.0,15.0,6.0,0.15,0.15,0.9169973544973544,0.13167623951937676
50,2.0,0.0,15.0,6.0,0.25555555555555554,0.25555555555555554,0.8697632058287796,0.20697901307923092
51,2.0,1.0,15.0,6.0,0.3333333333333333,0.3333333333333333,0.8853807223372441,0.25959366268355033
52,2.0,2.0,15.0,6.0,0.4111111111111111,0.4111111111111111,0.8655300803448952,0.35213075684226247
53,2.0,3.0,15.0,6.0,0.5055555555555555,0.5055555555555555,0.8882116997447518,0.45310533963016236
54,2.0,4.0,15.0,6.0,0.5833333333333334,0.5833333333333334,0.9113756613756613,0.5346119102216663
55,2.0,5.0,15.0,6.0,0.6444444444444445,0.6444444444444445,0.9166666666666666,0.5876543209876542
56,2.0,6.0,15.0,6.0,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.6
57,2.0,7.0,15.0,6.0,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.6
58,2.0,8.0,15.0,6.0,0.7111111111111111,0.7111111111111111,0.9197530864197531,0.6790932095279921
59,2.0,9.0,15.0,6.0,0.8222222222222222,0.8222222222222222,0.9316239316239315,0.8285945779457088
