,beta,SNR,n_iter,n_hidden,accuracy,recall,precision,F1_score
0,-2.0,-2.0,15.0,6.0,0.5222222222222223,0.5222222222222223,0.7564102564102565,0.44008714596949894
1,-2.0,-1.0,15.0,6.0,0.7777777777777778,0.7777777777777778,0.9444444444444444,0.7407407407407406
2,-2.0,0.0,15.0,6.0,0.9444444444444444,0.9444444444444444,0.9629629629629629,0.9407407407407407
3,-2.0,1.0,15.0,6.0,1.0,1.0,1.0,1.0
4,-2.0,2.0,15.0,6.0,1.0,1.0,1.0,1.0
5,-2.0,3.0,15.0,6.0,1.0,1.0,1.0,1.0
6,-2.0,4.0,15.0,6.0,1.0,1.0,1.0,1.0
7,-2.0,5.0,15.0,6.0,1.0,1.0,1.0,1.0
8,-2.0,6.0,15.0,6.0,1.0,1.0,1.0,1.0
9,-2.0,7.0,15.0,6.0,1.0,1.0,1.0,1.0
10,-2.0,8.0,15.0,6.0,1.0,1.0,1.0,1.0
11,-2.0,9.0,15.0,6.0,1.0,1.0,1.0,1.0
12,-1.0,-2.0,15.0,6.0,0.3111111111111111,0.3111111111111111,0.6720488961868273,0.21523861206400888
13,-1.0,-1.0,15.0,6.0,0.6944444444444444,0.6944444444444444,0.7768127929418253,0.6165818165471381
14,-1.0,0.0,15.0,6.0,0.9,0.9,0.9473684210526316,0.8746081504702194
15,-1.0,1.0,15.0,6.0,1.0,1.0,1.0,1.0
16,-1.0,2.0,15.0,6.0,1.0,1.0,1.0,1.0
17,-1.0,3.0,15.0,6.0,1.0,1.0,1.0,1.0
18,-1.0,4.0,15.0,6.0,1.0,1.0,1.0,1.0
19,-1.0,5.0,15.0,6.0,1.0,1.0,1.0,1.0
20,-1.0,6.0,15.0,6.0,1.0,1.0,1.0,1.0
21,-1.0,7.0,15.0,6.0,1.0,1.0,1.0,1.0
22,-1.0,8.0,15.0,6.0,1.0,1.0,1.0,1.0
23,-1.0,9.0,15.0,6.0,1.0,1.0,1.0,1.0
24,0.0,-2.0,15.0,6.0,0.6611111111111111,0.6611111111111111,0.8082263069007503,0.5431020350006244
25,0.0,-1.0,15.0,6.0,0.8222222222222222,0.8222222222222222,0.8743467861114921,0.7728197916349455
26,0.0,0.0,15.0,6.0,0.9722222222222222,0.9722222222222222,0.9754062362758014,0.9710840408514827
27,0.0,1.0,15.0,6.0,1.0,1.0,1.0,1.0
28,0.0,2.0,15.0,6.0,1.0,1.0,1.0,1.0
29,0.0,3.0,15.0,6.0,1.0,1.0,1.0,1.0
30,0.0,4.0,15.0,6.0,1.0,1.0,1.0,1.0
31,0.0,5.0,15.0,6.0,1.0,1.0,1.0,1.0
32,0.0,6.0,15.0,6.0,1.0,1.0,1.0,1.0
33,0.0,7.0,15.0,6.0,1.0,1.0,1.0,1.0
34,0.0,8.0,15.0,6.0,1.0,1.0,1.0,1.0
35,0.0,9.0,15.0,6.0,1.0,1.0,1.0,1.0
36,1.0,-2.0,15.0,6.0,0.15555555555555556,0.15555555555555556,0.9159891598915989,0.11176816405574576
37,1.0,-1.0,15.0,6.0,0.2611111111111111,0.2611111111111111,0.9135802469135803,0.21802251909778794
38,1.0,0.0,15.0,6.0,0.4777777777777778,0.4777777777777778,0.9127837514934289,0.4377499416541582
39,1.0,1.0,15.0,6.0,0.6,0.6,0.9135802469135803,0.5558361391694725
40,1.0,2.0,15.0,6.0,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.6
41,1.0,3.0,15.0,6.0,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.6
42,1.0,4.0,15.0,6.0,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.6
43,1.0,5.0,15.0,6.0,0.6722222222222223,0.6722222222222223,0.9170182841068917,0.6110309443642776
44,1.0,6.0,15.0,6.0,0.7,0.7,0.8761904761904762,0.6493827160493827
45,1.0,7.0,15.0,6.0,0.7888888888888889,0.7888888888888889,0.8916766228594186,0.7427670368846839
46,1.0,8.0,15.0,6.0,0.8833333333333333,0.8833333333333333,0.9328756674294432,0.8578472034767144
47,1.0,9.0,15.0,6.0,0.9,0.9,0.9473684210526316,0.8746081504702194
48,2.0,-2.0,15.0,6.0,0.005555555555555556,0.005555555555555556,0.8333333333333334,0.010101010101010102
49,2.0,-1.0,15.0,6.0,0.016666666666666666,0.016666666666666666,1.0,0.028985507246376812
50,2.0,0.0,15.0,6.0,0.06666666666666667,0.06666666666666667,0.9444444444444444,0.09890572390572391
51,2.0,1.0,15.0,6.0,0.17777777777777778,0.17777777777777778,0.9101449275362319,0.23395644646290642
52,2.0,2.0,15.0,6.0,0.3611111111111111,0.3611111111111111,0.9126705653021443,0.38085232668565994
53,2.0,3.0,15.0,6.0,0.49444444444444446,0.49444444444444446,0.9107320771063461,0.46297891297891297
54,2.0,4.0,15.0,6.0,0.55,0.55,0.7864570539588963,0.496704423048101
55,2.0,5.0,15.0,6.0,0.6444444444444445,0.6444444444444445,0.8192239858906526,0.5947198962424163
56,2.0,6.0,15.0,6.0,0.7611111111111111,0.7611111111111111,0.8847222222222222,0.7045991045991046
57,2.0,7.0,15.0,6.0,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.7323385091080191
58,2.0,8.0,15.0,6.0,0.9055555555555556,0.9055555555555556,0.9422799422799423,0.8918913445229235
59,2.0,9.0,15.0,6.0,0.9222222222222223,0.9222222222222223,0.9542483660130718,0.9113643558088002
