,beta,SNR,n_iter,n_hidden,accuracy,recall,precision,F1_score
0,-2.0,-2.0,15.0,6.0,0.8833333333333333,0.8833333333333333,0.943089430894309,0.8477885199196674
1,-2.0,-1.0,15.0,6.0,0.9888888888888889,0.9888888888888889,0.98989898989899,0.9888610414926206
2,-2.0,0.0,15.0,6.0,1.0,1.0,1.0,1.0
3,-2.0,1.0,15.0,6.0,1.0,1.0,1.0,1.0
4,-2.0,2.0,15.0,6.0,1.0,1.0,1.0,1.0
5,-2.0,3.0,15.0,6.0,1.0,1.0,1.0,1.0
6,-2.0,4.0,15.0,6.0,1.0,1.0,1.0,1.0
7,-2.0,5.0,15.0,6.0,1.0,1.0,1.0,1.0
8,-2.0,6.0,15.0,6.0,1.0,1.0,1.0,1.0
9,-2.0,7.0,15.0,6.0,1.0,1.0,1.0,1.0
10,-2.0,8.0,15.0,6.0,1.0,1.0,1.0,1.0
11,-2.0,9.0,15.0,6.0,1.0,1.0,1.0,1.0
12,-1.0,-2.0,15.0,6.0,0.7777777777777778,0.7777777777777778,0.9259259259259258,0.7222222222222222
13,-1.0,-1.0,15.0,6.0,0.9611111111111111,0.9611111111111111,0.9711934156378601,0.9598825130740025
14,-1.0,0.0,15.0,6.0,1.0,1.0,1.0,1.0
15,-1.0,1.0,15.0,6.0,1.0,1.0,1.0,1.0
16,-1.0,2.0,15.0,6.0,1.0,1.0,1.0,1.0
17,-1.0,3.0,15.0,6.0,1.0,1.0,1.0,1.0
18,-1.0,4.0,15.0,6.0,1.0,1.0,1.0,1.0
19,-1.0,5.0,15.0,6.0,1.0,1.0,1.0,1.0
20,-1.0,6.0,15.0,6.0,1.0,1.0,1.0,1.0
21,-1.0,7.0,15.0,6.0,1.0,1.0,1.0,1.0
22,-1.0,8.0,15.0,6.0,1.0,1.0,1.0,1.0
23,-1.0,9.0,15.0,6.0,1.0,1.0,1.0,1.0
24,0.0,-2.0,15.0,6.0,0.8055555555555556,0.8055555555555556,0.8963173700015804,0.76632267376369
25,0.0,-1.0,15.0,6.0,0.9777777777777777,0.9777777777777777,0.9797979797979799,0.9775599775599776
26,0.0,0.0,15.0,6.0,1.0,1.0,1.0,1.0
27,0.0,1.0,15.0,6.0,1.0,1.0,1.0,1.0
28,0.0,2.0,15.0,6.0,1.0,1.0,1.0,1.0
29,0.0,3.0,15.0,6.0,1.0,1.0,1.0,1.0
30,0.0,4.0,15.0,6.0,1.0,1.0,1.0,1.0
31,0.0,5.0,15.0,6.0,1.0,1.0,1.0,1.0
32,0.0,6.0,15.0,6.0,1.0,1.0,1.0,1.0
33,0.0,7.0,15.0,6.0,1.0,1.0,1.0,1.0
34,0.0,8.0,15.0,6.0,1.0,1.0,1.0,1.0
35,0.0,9.0,15.0,6.0,1.0,1.0,1.0,1.0
36,1.0,-2.0,15.0,6.0,0.22777777777777777,0.22777777777777777,0.9391534391534391,0.21040055335471297
37,1.0,-1.0,15.0,6.0,0.2833333333333333,0.2833333333333333,0.931907062341845,0.25459419794588956
38,1.0,0.0,15.0,6.0,0.3277777777777778,0.3277777777777778,0.9161579161579161,0.29605388464668503
39,1.0,1.0,15.0,6.0,0.36666666666666664,0.36666666666666664,0.8774928774928774,0.29945112430988136
40,1.0,2.0,15.0,6.0,0.37222222222222223,0.37222222222222223,0.8739220933690157,0.3100207983209521
41,1.0,3.0,15.0,6.0,0.5111111111111111,0.5111111111111111,0.8979700854700855,0.4847610789639775
42,1.0,4.0,15.0,6.0,0.6222222222222222,0.6222222222222222,0.9136279136279136,0.5746710559787239
43,1.0,5.0,15.0,6.0,0.6222222222222222,0.6222222222222222,0.8962962962962961,0.5645377059205748
44,1.0,6.0,15.0,6.0,0.6555555555555556,0.6555555555555556,0.8880070546737212,0.5794982625646241
45,1.0,7.0,15.0,6.0,0.6444444444444445,0.6444444444444445,0.8721859114015976,0.5619688953022286
46,1.0,8.0,15.0,6.0,0.6222222222222222,0.6222222222222222,0.8456705331705332,0.5320952492304291
47,1.0,9.0,15.0,6.0,0.5611111111111111,0.5611111111111111,0.8082655277124501,0.4344744445137286
48,2.0,-2.0,15.0,6.0,0.05,0.05,0.8412698412698414,0.062869592281357
49,2.0,-1.0,15.0,6.0,0.03888888888888889,0.03888888888888889,0.7460317460317459,0.0613542835765058
50,2.0,0.0,15.0,6.0,0.06666666666666667,0.06666666666666667,0.7380952380952381,0.08780903665814152
51,2.0,1.0,15.0,6.0,0.17222222222222222,0.17222222222222222,0.8686868686868687,0.20413331524442638
52,2.0,2.0,15.0,6.0,0.2777777777777778,0.2777777777777778,0.8528374312688037,0.2816739777230434
53,2.0,3.0,15.0,6.0,0.38333333333333336,0.38333333333333336,0.854318335521343,0.3695667612217402
54,2.0,4.0,15.0,6.0,0.45555555555555555,0.45555555555555555,0.8739112739112738,0.42125145612857146
55,2.0,5.0,15.0,6.0,0.5222222222222223,0.5222222222222223,0.8743063621112401,0.45387456896401707
56,2.0,6.0,15.0,6.0,0.5055555555555555,0.5055555555555555,0.8148989898989899,0.42863880974992086
57,2.0,7.0,15.0,6.0,0.5444444444444444,0.5444444444444444,0.81109987641838,0.4318021484688151
58,2.0,8.0,15.0,6.0,0.5555555555555556,0.5555555555555556,0.7923256860098964,0.43263284182824413
59,2.0,9.0,15.0,6.0,0.5555555555555556,0.5555555555555556,0.8005291005291005,0.4203142536475869
