,beta,SNR,n_iter,n_hidden,accuracy,recall,precision,F1_score
0,-2.0,-2.0,15.0,6.0,0.0,0.0,1.0,0.0
1,-2.0,-1.0,15.0,6.0,0.0,0.0,1.0,0.0
2,-2.0,0.0,15.0,6.0,0.0,0.0,1.0,0.0
3,-2.0,1.0,15.0,6.0,0.0,0.0,1.0,0.0
4,-2.0,2.0,15.0,6.0,0.07777777777777778,0.07777777777777778,1.0,0.0915032679738562
5,-2.0,3.0,15.0,6.0,0.1111111111111111,0.1111111111111111,1.0,0.1111111111111111
6,-2.0,4.0,15.0,6.0,0.2222222222222222,0.2222222222222222,1.0,0.2222222222222222
7,-2.0,5.0,15.0,6.0,0.4666666666666667,0.4666666666666667,1.0,0.5019428030180718
8,-2.0,6.0,15.0,6.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666
9,-2.0,7.0,15.0,6.0,0.8555555555555555,0.8555555555555555,1.0,0.869281045751634
10,-2.0,8.0,15.0,6.0,0.8888888888888888,0.8888888888888888,1.0,0.8888888888888888
11,-2.0,9.0,15.0,6.0,0.8888888888888888,0.8888888888888888,1.0,0.8888888888888888
12,-1.0,-2.0,15.0,6.0,0.0,0.0,1.0,0.0
13,-1.0,-1.0,15.0,6.0,0.0,0.0,1.0,0.0
14,-1.0,0.0,15.0,6.0,0.0,0.0,1.0,0.0
15,-1.0,1.0,15.0,6.0,0.0,0.0,1.0,0.0
16,-1.0,2.0,15.0,6.0,0.044444444444444446,0.044444444444444446,1.0,0.0634920634920635
17,-1.0,3.0,15.0,6.0,0.1111111111111111,0.1111111111111111,1.0,0.1111111111111111
18,-1.0,4.0,15.0,6.0,0.1111111111111111,0.1111111111111111,1.0,0.1111111111111111
19,-1.0,5.0,15.0,6.0,0.24444444444444444,0.24444444444444444,1.0,0.2592592592592593
20,-1.0,6.0,15.0,6.0,0.38333333333333336,0.38333333333333336,1.0,0.41481481481481486
21,-1.0,7.0,15.0,6.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666
22,-1.0,8.0,15.0,6.0,0.7777777777777778,0.7777777777777778,1.0,0.7777777777777778
23,-1.0,9.0,15.0,6.0,0.8888888888888888,0.8888888888888888,1.0,0.8888888888888888
24,0.0,-2.0,15.0,6.0,0.21666666666666667,0.21666666666666667,0.7334464302152787,0.0898573867608476
25,0.0,-1.0,15.0,6.0,0.21666666666666667,0.21666666666666667,0.7283927989573151,0.09397430591711502
26,0.0,0.0,15.0,6.0,0.38333333333333336,0.38333333333333336,0.7763711185933408,0.28943435452869415
27,0.0,1.0,15.0,6.0,0.6666666666666666,0.6666666666666666,0.8344556677890012,0.5562169312169313
28,0.0,2.0,15.0,6.0,0.7722222222222223,0.7722222222222223,0.8835978835978835,0.6981446737544298
29,0.0,3.0,15.0,6.0,0.7777777777777778,0.7777777777777778,0.8850223850223851,0.7022491693843492
30,0.0,4.0,15.0,6.0,0.7777777777777778,0.7777777777777778,0.8850223850223851,0.7022491693843491
31,0.0,5.0,15.0,6.0,0.8555555555555555,0.8555555555555555,0.9188034188034189,0.8177512550914084
32,0.0,6.0,15.0,6.0,0.9888888888888889,0.9888888888888889,0.98989898989899,0.9888610414926206
33,0.0,7.0,15.0,6.0,1.0,1.0,1.0,1.0
34,0.0,8.0,15.0,6.0,1.0,1.0,1.0,1.0
35,0.0,9.0,15.0,6.0,1.0,1.0,1.0,1.0
36,1.0,-2.0,15.0,6.0,0.6722222222222223,0.6722222222222223,0.8803568418459303,0.6722901967540014
37,1.0,-1.0,15.0,6.0,0.9333333333333333,0.9333333333333333,0.9493045081280376,0.9350853724255258
38,1.0,0.0,15.0,6.0,0.9944444444444445,0.9944444444444445,0.9947089947089947,0.9944409700507262
39,1.0,1.0,15.0,6.0,0.9888888888888889,0.9888888888888889,1.0,0.9941520467836257
40,1.0,2.0,15.0,6.0,1.0,1.0,1.0,1.0
41,1.0,3.0,15.0,6.0,1.0,1.0,1.0,1.0
42,1.0,4.0,15.0,6.0,1.0,1.0,1.0,1.0
43,1.0,5.0,15.0,6.0,1.0,1.0,1.0,1.0
44,1.0,6.0,15.0,6.0,1.0,1.0,1.0,1.0
45,1.0,7.0,15.0,6.0,1.0,1.0,1.0,1.0
46,1.0,8.0,15.0,6.0,1.0,1.0,1.0,1.0
47,1.0,9.0,15.0,6.0,1.0,1.0,1.0,1.0
48,2.0,-2.0,15.0,6.0,0.3388888888888889,0.3388888888888889,0.8712042788129746,0.3730568885607645
49,2.0,-1.0,15.0,6.0,0.42777777777777776,0.42777777777777776,0.8129560616517137,0.4538356523699123
50,2.0,0.0,15.0,6.0,0.6555555555555556,0.6555555555555556,0.8506922905390338,0.6474050613153063
51,2.0,1.0,15.0,6.0,0.8055555555555556,0.8055555555555556,0.9087642788292464,0.8139332143062726
52,2.0,2.0,15.0,6.0,0.8722222222222222,0.8722222222222222,0.9336182336182336,0.8750128025490344
53,2.0,3.0,15.0,6.0,0.9444444444444444,0.9444444444444444,0.9660894660894661,0.9496319778733129
54,2.0,4.0,15.0,6.0,0.9555555555555556,0.9555555555555556,0.9745069745069745,0.9618259374356936
55,2.0,5.0,15.0,6.0,0.9611111111111111,0.9611111111111111,0.9814814814814816,0.9685443018776353
56,2.0,6.0,15.0,6.0,0.9944444444444445,0.9944444444444445,0.9947089947089947,0.9944409700507262
57,2.0,7.0,15.0,6.0,0.9888888888888889,0.9888888888888889,0.98989898989899,0.9888610414926206
58,2.0,8.0,15.0,6.0,0.9944444444444445,0.9944444444444445,0.9947089947089947,0.9944409700507262
59,2.0,9.0,15.0,6.0,1.0,1.0,1.0,1.0
