,beta,SNR,n_iter,n_hidden,accuracy,recall,precision,F1_score
0,-2.0,-2.0,15.0,6.0,0.5777777777777777,0.5777777777777777,0.8625730994152048,0.4907407407407407
1,-2.0,-1.0,15.0,6.0,0.6666666666666666,0.6666666666666666,0.8703703703703703,0.5740740740740741
2,-2.0,0.0,15.0,6.0,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.7037037037037036
3,-2.0,1.0,15.0,6.0,0.9555555555555556,0.9555555555555556,0.9682539682539683,0.9537037037037036
4,-2.0,2.0,15.0,6.0,1.0,1.0,1.0,1.0
5,-2.0,3.0,15.0,6.0,1.0,1.0,1.0,1.0
6,-2.0,4.0,15.0,6.0,1.0,1.0,1.0,1.0
7,-2.0,5.0,15.0,6.0,1.0,1.0,1.0,1.0
8,-2.0,6.0,15.0,6.0,1.0,1.0,1.0,1.0
9,-2.0,7.0,15.0,6.0,1.0,1.0,1.0,1.0
10,-2.0,8.0,15.0,6.0,1.0,1.0,1.0,1.0
11,-2.0,9.0,15.0,6.0,1.0,1.0,1.0,1.0
12,-1.0,-2.0,15.0,6.0,0.5555555555555556,0.5555555555555556,0.8611111111111112,0.45185185185185184
13,-1.0,-1.0,15.0,6.0,0.5555555555555556,0.5555555555555556,0.8611111111111112,0.45185185185185184
14,-1.0,0.0,15.0,6.0,0.6666666666666666,0.6666666666666666,0.8703703703703703,0.5740740740740741
15,-1.0,1.0,15.0,6.0,0.8444444444444444,0.8444444444444444,0.9086099086099088,0.8222786918803691
16,-1.0,2.0,15.0,6.0,1.0,1.0,1.0,1.0
17,-1.0,3.0,15.0,6.0,1.0,1.0,1.0,1.0
18,-1.0,4.0,15.0,6.0,1.0,1.0,1.0,1.0
19,-1.0,5.0,15.0,6.0,1.0,1.0,1.0,1.0
20,-1.0,6.0,15.0,6.0,1.0,1.0,1.0,1.0
21,-1.0,7.0,15.0,6.0,1.0,1.0,1.0,1.0
22,-1.0,8.0,15.0,6.0,1.0,1.0,1.0,1.0
23,-1.0,9.0,15.0,6.0,1.0,1.0,1.0,1.0
24,0.0,-2.0,15.0,6.0,0.4166666666666667,0.4166666666666667,0.686709865955149,0.2818745564843048
25,0.0,-1.0,15.0,6.0,0.4777777777777778,0.4777777777777778,0.6957671957671958,0.3610166549234649
26,0.0,0.0,15.0,6.0,0.6388888888888888,0.6388888888888888,0.8373976693161752,0.5737960142646344
27,0.0,1.0,15.0,6.0,0.9777777777777777,0.9777777777777777,0.9802162410858063,0.9776800230572209
28,0.0,2.0,15.0,6.0,1.0,1.0,1.0,1.0
29,0.0,3.0,15.0,6.0,1.0,1.0,1.0,1.0
30,0.0,4.0,15.0,6.0,1.0,1.0,1.0,1.0
31,0.0,5.0,15.0,6.0,1.0,1.0,1.0,1.0
32,0.0,6.0,15.0,6.0,1.0,1.0,1.0,1.0
33,0.0,7.0,15.0,6.0,1.0,1.0,1.0,1.0
34,0.0,8.0,15.0,6.0,1.0,1.0,1.0,1.0
35,0.0,9.0,15.0,6.0,1.0,1.0,1.0,1.0
36,1.0,-2.0,15.0,6.0,0.20555555555555555,0.20555555555555555,0.8121693121693122,0.1796059062612543
37,1.0,-1.0,15.0,6.0,0.3277777777777778,0.3277777777777778,0.8646418417585465,0.2993608979167869
38,1.0,0.0,15.0,6.0,0.4444444444444444,0.4444444444444444,0.8470217689818416,0.3764921399118126
39,1.0,1.0,15.0,6.0,0.5333333333333333,0.5333333333333333,0.8406691715870459,0.45339776184329433
40,1.0,2.0,15.0,6.0,0.5777777777777777,0.5777777777777777,0.8697632058287796,0.5077111899723985
41,1.0,3.0,15.0,6.0,0.5944444444444444,0.5944444444444444,0.8690153568202349,0.5193618026040613
42,1.0,4.0,15.0,6.0,0.5944444444444444,0.5944444444444444,0.8592592592592592,0.5099941211052322
43,1.0,5.0,15.0,6.0,0.5388888888888889,0.5388888888888889,0.8527336860670194,0.43635137991510853
44,1.0,6.0,15.0,6.0,0.5555555555555556,0.5555555555555556,0.8518518518518517,0.4444444444444444
45,1.0,7.0,15.0,6.0,0.5555555555555556,0.5555555555555556,0.8471885929513049,0.4424376522246235
46,1.0,8.0,15.0,6.0,0.5555555555555556,0.5555555555555556,0.8258038258038258,0.43209876543209874
47,1.0,9.0,15.0,6.0,0.5555555555555556,0.5555555555555556,0.8150932887774993,0.42609071808181936
48,2.0,-2.0,15.0,6.0,0.005555555555555556,0.005555555555555556,0.8888888888888888,0.010582010582010581
49,2.0,-1.0,15.0,6.0,0.03333333333333333,0.03333333333333333,0.8666666666666667,0.05575757575757577
50,2.0,0.0,15.0,6.0,0.1,0.1,0.8725146198830409,0.14643874643874644
51,2.0,1.0,15.0,6.0,0.24444444444444444,0.24444444444444444,0.8979699406644378,0.26720385543914954
52,2.0,2.0,15.0,6.0,0.37222222222222223,0.37222222222222223,0.8832119514472456,0.3443879195127234
53,2.0,3.0,15.0,6.0,0.4388888888888889,0.4388888888888889,0.8966049382716049,0.3902724955356535
54,2.0,4.0,15.0,6.0,0.4888888888888889,0.4888888888888889,0.8826458912138226,0.45340477154326325
55,2.0,5.0,15.0,6.0,0.6,0.6,0.8679337231968811,0.5414142865123258
56,2.0,6.0,15.0,6.0,0.65,0.65,0.8533419299376745,0.5591812455192922
57,2.0,7.0,15.0,6.0,0.65,0.65,0.8306878306878307,0.5440621128227241
58,2.0,8.0,15.0,6.0,0.6777777777777778,0.6777777777777778,0.8364828242877025,0.5843763663473308
59,2.0,9.0,15.0,6.0,0.7277777777777777,0.7277777777777777,0.8544061302681993,0.6510374759222686
