,beta,SNR,n_iter,n_hidden,accuracy,recall,precision,F1_score
0,-2.0,-2.0,15.0,6.0,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.7037037037037036
1,-2.0,-1.0,15.0,6.0,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.8518518518518517
2,-2.0,0.0,15.0,6.0,0.9888888888888889,0.9888888888888889,0.98989898989899,0.9888610414926206
3,-2.0,1.0,15.0,6.0,1.0,1.0,1.0,1.0
4,-2.0,2.0,15.0,6.0,1.0,1.0,1.0,1.0
5,-2.0,3.0,15.0,6.0,1.0,1.0,1.0,1.0
6,-2.0,4.0,15.0,6.0,1.0,1.0,1.0,1.0
7,-2.0,5.0,15.0,6.0,1.0,1.0,1.0,1.0
8,-2.0,6.0,15.0,6.0,1.0,1.0,1.0,1.0
9,-2.0,7.0,15.0,6.0,1.0,1.0,1.0,1.0
10,-2.0,8.0,15.0,6.0,1.0,1.0,1.0,1.0
11,-2.0,9.0,15.0,6.0,1.0,1.0,1.0,1.0
12,-1.0,-2.0,15.0,6.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.5555555555555555
13,-1.0,-1.0,15.0,6.0,0.8722222222222222,0.8722222222222222,0.929052429052429,0.8351538633951983
14,-1.0,0.0,15.0,6.0,0.9555555555555556,0.9555555555555556,0.9682539682539683,0.9537037037037036
15,-1.0,1.0,15.0,6.0,1.0,1.0,1.0,1.0
16,-1.0,2.0,15.0,6.0,1.0,1.0,1.0,1.0
17,-1.0,3.0,15.0,6.0,1.0,1.0,1.0,1.0
18,-1.0,4.0,15.0,6.0,1.0,1.0,1.0,1.0
19,-1.0,5.0,15.0,6.0,1.0,1.0,1.0,1.0
20,-1.0,6.0,15.0,6.0,1.0,1.0,1.0,1.0
21,-1.0,7.0,15.0,6.0,1.0,1.0,1.0,1.0
22,-1.0,8.0,15.0,6.0,1.0,1.0,1.0,1.0
23,-1.0,9.0,15.0,6.0,1.0,1.0,1.0,1.0
24,0.0,-2.0,15.0,6.0,0.4888888888888889,0.4888888888888889,0.7709658967018093,0.3592553898771034
25,0.0,-1.0,15.0,6.0,0.7111111111111111,0.7111111111111111,0.8429924375528424,0.6712218945710045
26,0.0,0.0,15.0,6.0,0.8833333333333333,0.8833333333333333,0.9391534391534391,0.8462928219025779
27,0.0,1.0,15.0,6.0,0.9,0.9,0.9473684210526316,0.8746081504702194
28,0.0,2.0,15.0,6.0,0.9722222222222222,0.9722222222222222,0.9777777777777777,0.9717813051146383
29,0.0,3.0,15.0,6.0,1.0,1.0,1.0,1.0
30,0.0,4.0,15.0,6.0,1.0,1.0,1.0,1.0
31,0.0,5.0,15.0,6.0,1.0,1.0,1.0,1.0
32,0.0,6.0,15.0,6.0,1.0,1.0,1.0,1.0
33,0.0,7.0,15.0,6.0,1.0,1.0,1.0,1.0
34,0.0,8.0,15.0,6.0,1.0,1.0,1.0,1.0
35,0.0,9.0,15.0,6.0,1.0,1.0,1.0,1.0
36,1.0,-2.0,15.0,6.0,0.18888888888888888,0.18888888888888888,0.9265536723163842,0.14776205840986184
37,1.0,-1.0,15.0,6.0,0.16666666666666666,0.16666666666666666,0.9215686274509803,0.12457912457912457
38,1.0,0.0,15.0,6.0,0.17222222222222222,0.17222222222222222,0.9130434782608696,0.1470711253319949
39,1.0,1.0,15.0,6.0,0.2833333333333333,0.2833333333333333,0.9133089133089132,0.28318845972519135
40,1.0,2.0,15.0,6.0,0.49444444444444446,0.49444444444444446,0.8687046835194983,0.43030183936906197
41,1.0,3.0,15.0,6.0,0.5333333333333333,0.5333333333333333,0.8611111111111112,0.4477268477268476
42,1.0,4.0,15.0,6.0,0.5666666666666667,0.5666666666666667,0.8625730994152048,0.48489278752436654
43,1.0,5.0,15.0,6.0,0.5666666666666667,0.5666666666666667,0.8618233618233618,0.47296090153233006
44,1.0,6.0,15.0,6.0,0.5666666666666667,0.5666666666666667,0.8618233618233618,0.47296090153233006
45,1.0,7.0,15.0,6.0,0.6,0.6,0.8641975308641975,0.5192086496434323
46,1.0,8.0,15.0,6.0,0.6,0.6,0.8510466988727857,0.5130851109424405
47,1.0,9.0,15.0,6.0,0.5666666666666667,0.5666666666666667,0.8254042470290279,0.47897232029239256
48,2.0,-2.0,15.0,6.0,0.06666666666666667,0.06666666666666667,0.867003367003367,0.06261174185702488
49,2.0,-1.0,15.0,6.0,0.09444444444444444,0.09444444444444444,0.934959349593496,0.061930783242258654
50,2.0,0.0,15.0,6.0,0.10555555555555556,0.10555555555555556,0.9302832244008714,0.05946791862284821
51,2.0,1.0,15.0,6.0,0.1111111111111111,0.1111111111111111,0.9278752436647173,0.05772005772005772
52,2.0,2.0,15.0,6.0,0.17777777777777778,0.17777777777777778,0.9040009909575126,0.13459366268355033
53,2.0,3.0,15.0,6.0,0.26666666666666666,0.26666666666666666,0.9166666666666666,0.22722462722462725
54,2.0,4.0,15.0,6.0,0.36666666666666664,0.36666666666666664,0.9111703308905175,0.32206065539398876
55,2.0,5.0,15.0,6.0,0.46111111111111114,0.46111111111111114,0.9113756613756613,0.4273899141107813
56,2.0,6.0,15.0,6.0,0.49444444444444446,0.49444444444444446,0.8910256410256411,0.4384814326843312
57,2.0,7.0,15.0,6.0,0.5722222222222222,0.5722222222222222,0.8757122507122508,0.494938923510352
58,2.0,8.0,15.0,6.0,0.6277777777777778,0.6277777777777778,0.8622303622303622,0.5456392271313362
59,2.0,9.0,15.0,6.0,0.6722222222222223,0.6722222222222223,0.8427932576539388,0.5788014011423435
