,beta,SNR,n_iter,n_hidden,accuracy,recall,precision,F1_score
0,-2.0,-2.0,15.0,6.0,0.0,0.0,0.7777777777777778,0.0
1,-2.0,-1.0,15.0,6.0,0.005555555555555556,0.005555555555555556,0.7830687830687831,0.005420054200542005
2,-2.0,0.0,15.0,6.0,0.12222222222222222,0.12222222222222222,0.8333333333333334,0.09427609427609428
3,-2.0,1.0,15.0,6.0,0.2777777777777778,0.2777777777777778,0.9444444444444444,0.2592592592592592
4,-2.0,2.0,15.0,6.0,0.4388888888888889,0.4388888888888889,0.8888888888888888,0.3675213675213675
5,-2.0,3.0,15.0,6.0,0.4444444444444444,0.4444444444444444,0.8888888888888888,0.3703703703703703
6,-2.0,4.0,15.0,6.0,0.48333333333333334,0.48333333333333334,0.9006734006734007,0.4377669073685845
7,-2.0,5.0,15.0,6.0,0.5555555555555556,0.5555555555555556,0.925925925925926,0.5084175084175084
8,-2.0,6.0,15.0,6.0,0.6555555555555556,0.6555555555555556,0.8716475095785441,0.5696506222822012
9,-2.0,7.0,15.0,6.0,0.6666666666666666,0.6666666666666666,0.8703703703703703,0.5740740740740741
10,-2.0,8.0,15.0,6.0,0.6666666666666666,0.6666666666666666,0.8703703703703703,0.5740740740740741
11,-2.0,9.0,15.0,6.0,0.6666666666666666,0.6666666666666666,0.8703703703703703,0.5740740740740741
12,-1.0,-2.0,15.0,6.0,0.0,0.0,0.7777777777777778,0.0
13,-1.0,-1.0,15.0,6.0,0.1111111111111111,0.1111111111111111,0.8333333333333334,0.07407407407407407
14,-1.0,0.0,15.0,6.0,0.1111111111111111,0.1111111111111111,0.7222222222222222,0.07407407407407407
15,-1.0,1.0,15.0,6.0,0.14444444444444443,0.14444444444444443,0.7222222222222222,0.12535612535612534
16,-1.0,2.0,15.0,6.0,0.24444444444444444,0.24444444444444444,0.8333333333333334,0.2222222222222222
17,-1.0,3.0,15.0,6.0,0.3333333333333333,0.3333333333333333,0.8888888888888888,0.2592592592592592
18,-1.0,4.0,15.0,6.0,0.34444444444444444,0.34444444444444444,0.8888888888888888,0.2794612794612794
19,-1.0,5.0,15.0,6.0,0.5555555555555556,0.5555555555555556,0.8888888888888888,0.48148148148148145
20,-1.0,6.0,15.0,6.0,0.6111111111111112,0.6111111111111112,0.9391534391534391,0.5898825654923215
21,-1.0,7.0,15.0,6.0,0.6666666666666666,0.6666666666666666,0.8796296296296297,0.5838779956427015
22,-1.0,8.0,15.0,6.0,0.6666666666666666,0.6666666666666666,0.8703703703703703,0.5740740740740741
23,-1.0,9.0,15.0,6.0,0.6666666666666666,0.6666666666666666,0.8703703703703703,0.5740740740740741
24,0.0,-2.0,15.0,6.0,0.20555555555555555,0.20555555555555555,0.6528714949767582,0.11700336700336701
25,0.0,-1.0,15.0,6.0,0.2388888888888889,0.2388888888888889,0.661598440545809,0.13622732043784677
26,0.0,0.0,15.0,6.0,0.24444444444444444,0.24444444444444444,0.6522157490508931,0.13435983712481409
27,0.0,1.0,15.0,6.0,0.3333333333333333,0.3333333333333333,0.739162721618862,0.2060146796988902
28,0.0,2.0,15.0,6.0,0.5,0.5,0.7725563909774437,0.3753623397586246
29,0.0,3.0,15.0,6.0,0.5555555555555556,0.5555555555555556,0.8352318888717357,0.44654258762601745
30,0.0,4.0,15.0,6.0,0.6222222222222222,0.6222222222222222,0.8923074892426283,0.5647945141915857
31,0.0,5.0,15.0,6.0,0.6666666666666666,0.6666666666666666,0.8949938949938949,0.5939083303876517
32,0.0,6.0,15.0,6.0,0.6666666666666666,0.6666666666666666,0.8703703703703703,0.5740740740740741
33,0.0,7.0,15.0,6.0,0.6666666666666666,0.6666666666666666,0.8703703703703703,0.5740740740740741
